title,locality,city,bhk_raw,price_raw,price_per_sqft_raw,area_raw,floor_raw,furnishing_raw,society_raw,listing_url,scraped_at
"3 BHK Flat for Sale in Ashwin Sheth Edmont Aurelia, Kandivali West, Mumbai",,Mumbai,,"₹
2.96 Cr",,1009 sqft,,,,"https://www.magicbricks.com/property-for-sale/residential-real-estate?proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-Plot&cityName=Mumbai&page=1",2026-05-19T01:03:07.798863
"1 BHK Flat for Sale in Mayfair Virar Gardens, Virar West, Mumbai",,Mumbai,,"₹
40.2 Lac",,419 sqft,,,,"https://www.magicbricks.com/property-for-sale/residential-real-estate?proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-Plot&cityName=Mumbai&page=2",2026-05-19T01:03:26.525993
"4 BHK Flat for Sale in Kalpataru One Wing A, Worli, Mumbai",,Mumbai,,"₹
26.75 Cr",,3564 sqft,,,,"https://www.magicbricks.com/property-for-sale/residential-real-estate?proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-Plot&cityName=Mumbai&page=3",2026-05-19T01:03:41.283087
"3 BHK Flat for Sale in JP North Alexa, Mira Road Area, Mumbai",,Mumbai,,"₹
1.27 Cr",,780 sqft,,,,"https://www.magicbricks.com/property-for-sale/residential-real-estate?proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-Plot&cityName=Mumbai&page=4",2026-05-19T01:03:54.519868
"3 BHK Flat for Sale in Anchor Polestar, Dadar East, Mumbai",,Mumbai,,"₹
5.17 Cr",,1150 sqft,,,,"https://www.magicbricks.com/property-for-sale/residential-real-estate?proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-Plot&cityName=Mumbai&page=5",2026-05-19T01:04:10.546864
"3 BHK Flat for Sale in Roswalt Raya, Chembur, Mumbai",,Mumbai,,"₹
3.31 Cr",,960 sqft,,,,"https://www.magicbricks.com/property-for-sale/residential-real-estate?proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-Plot&cityName=Mumbai&page=6",2026-05-19T01:04:24.524114
"4 BHK Flat for Sale in Juhu, Mumbai",,Mumbai,,"₹
10 Cr",,1800 sqft,,,,"https://www.magicbricks.com/property-for-sale/residential-real-estate?proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-Plot&cityName=Mumbai&page=7",2026-05-19T01:04:40.010085
"2 BHK Flat for Sale in SD Siennaa, Thakur Village, Kandivali East, Mumbai",,Mumbai,,"₹
1.80 Cr",,600 sqft,,,,"https://www.magicbricks.com/property-for-sale/residential-real-estate?proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-Plot&cityName=Mumbai&page=10",2026-05-19T01:07:12.322894
"3 BHK Flat for Sale in Embassy Citadel, Lower Parel, Mumbai",,Mumbai,,"₹
14.28 Cr",,1900 sqft,,,,"https://www.magicbricks.com/property-for-sale/residential-real-estate?proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-Plot&cityName=Mumbai&page=11",2026-05-19T01:07:26.593949
"3 BHK Flat for Sale in Kalpataru Amare, Juhu, Mumbai",,Mumbai,,"₹
8.85 Cr",,1406 sqft,,,,"https://www.magicbricks.com/property-for-sale/residential-real-estate?proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-Plot&cityName=Mumbai&page=12",2026-05-19T01:07:40.273226
